ticker,sharpes
A,2.7655003664801066
AAPL,0.5423453087084645
ABC,2.0224730680563945
ABT,2.655344782690427
ADBE,4.338640920039416
ADI,2.1078518216506095
ADM,1.0288550320780028
ADP,5.116672262246291
ADSK,4.639707036232032
AEE,3.7937838891130036
AEP,2.813105344731134
AES,1.3270441628633487
AFL,1.8472775830940058
AIG,-0.09483155052640814
AIV,3.886525635160831
AIZ,3.9380293493571963
AKAM,1.8100926322047062
ALL,3.3250037320569374
AMAT,1.3784968529518156
AMGN,2.265440179191045
AMP,2.6010746422975637
AMT,3.2603180228596016
AMZN,1.5980640551978391
AON,6.164395900488171
APA,-0.8591292041383068
APD,1.9771285920797623
APH,3.855232117865169
AVB,2.9690157087907174
AVY,2.4881401343081837
AXP,2.8234736071247193
AZO,2.2812668757908297
BA,2.424820299334753
BAC,-2.722509448632097
BAX,2.738751521644931
BBY,1.3265883825273226
BDX,2.401118386198268
BEN,1.1977668899505072
BIIB,1.0307716505025075
BK,0.8393227130493369
BMY,2.0478865283547427
BSX,0.802201766628986
BXP,2.3666581904138275
C,-1.787468700379516
CAG,2.126892076758239
CAH,2.1865284558573173
CAT,0.7114742715569397
CB,3.8370183538307856
CBRE,1.7902219826863224
CCL,0.18968138989744884
CF,0.06027026137239344
CHRW,3.510519709925493
CI,3.0847545881199836
CINF,1.6442363795468302
CL,4.634875924867029
CLX,3.340823263179731
CMA,1.9368844148227975
CMCSA,2.1784571596108546
CME,1.82146103928624
CMI,1.5163781259472993
CMS,4.117419941481844
CNP,1.640792007356287
COF,1.7358512528547998
COP,0.39290607116953147
COST,4.589469269179198
CPB,3.9994380635978906
CRM,2.6689046666222005
CSCO,1.960676937100852
CSX,2.936745861450591
CTAS,3.9010290468575692
CTSH,1.9954156355605908
CTXS,2.469954972967613
CVS,1.5343394831222161
CVX,0.8666445219410696
D,3.4322322014168347
DE,2.3637657248333275
DGX,3.236650571185712
DHI,0.1513578525480284
DHR,2.8456865526802333
DIS,2.214020446475777
DOV,2.31439362177396
DRI,1.9357086346940393
DTE,3.9767958118195734
DUK,2.3736783706596545
DVA,2.087175320432463
DVN,-1.861274203144395
EA,1.714134894681133
EBAY,2.1055092877960675
ECL,4.560497009330439
ED,4.024341368292651
EFX,4.758633120177079
EIX,3.71188285482771
EL,3.9754851999717635
EMN,1.3633713267124061
EMR,1.5681764482863119
EOG,-0.001298135204524337
EQR,2.6069302016630784
ES,4.3514458565433705
ETN,1.3332534905761166
ETR,2.305940470275718
EXC,-0.09652762960616963
EXPD,3.677824375181091
EXPE,1.9212923166413776
F,-3.303873210552095
FAST,3.5755677902483782
FCX,-1.743446755497814
FDX,1.5693651284350827
FE,0.46486394780539336
FIS,5.053708084595016
FISV,6.725282574878024
FITB,0.6554674311665041
FLS,2.026987443578771
FTI,0.7802201557949258
GD,2.3823380174312385
GE,-1.009947505993669
GILD,-0.9982291336608422
GIS,3.9815912521341796
GLW,0.32977134860622836
GOOGL,-0.4256538571063338
GPC,1.7661872909937046
GPS,1.403788139829372
GS,0.2557398628346116
GWW,3.3675483955458994
HAL,0.1693992580739038
HAS,1.15376976641752
HBAN,-1.0914051479052733
HD,3.9185148392913165
HES,-0.40550264528168617
HIG,1.0290327999070614
HOG,3.393823489374903
HON,2.018319645780424
HPQ,4.047835985720662
HRB,1.5350921829500088
HRL,3.84332814053046
HST,1.449191498602902
HSY,6.3131246572346065
HUM,3.7500149592500125
IBM,4.105706471905541
ICE,1.7820207547931812
IFF,3.3517822430067588
INTC,3.7013011307245796
INTU,6.667986553942538
IP,0.7001581002957087
IPG,1.9738715388362453
IRM,1.0698875221099298
ISRG,3.5066568111843366
ITW,3.27221486843272
IVZ,-1.1003019236695588
JCI,3.4837497692050916
JNJ,2.2047606094140493
JNPR,3.090117292766382
JPM,1.485382588435838
JWN,3.546773845778546
K,2.5713258421210368
KEY,0.24057545214547685
KIM,1.1050296401952817
KLAC,2.8325819386002054
KMB,3.782371366123518
KO,3.6538399267456128
KR,2.5631772306138907
KSS,1.3038336830908206
L,1.4888458299248128
LEG,1.6977624023644355
LEN,-0.3209830210898672
LH,3.179590086600026
LLY,2.68421079300516
LMT,2.232077198943021
LNC,1.0502897001851719
LOW,3.45704298924293
LUV,1.1210954369582642
MA,2.36226307780229
MAR,4.598269432212718
MAS,1.3819324418720564
MCD,2.266063915162166
MCHP,1.1390501990734268
MCK,1.9738422941532205
MCO,4.636974839362962
MDLZ,2.079644213233168
MDT,2.202515188567607
MET,0.666468632736541
MKC,5.377378026079131
MMC,5.672006639530629
MMM,2.905773334594423
MO,2.097029582884574
MRK,0.7778496003823702
MRO,-1.7467650905542864
MS,-1.1685999851279654
MSFT,2.961610435527092
MSI,4.612000748101522
MTB,1.3030092321153173
MU,-1.6906862079255482
NDAQ,3.30964739351329
NEE,4.842136195205138
NEM,-1.0558763906245183
NI,5.074622764877982
NKE,3.639283376241605
NOC,3.248950179391746
NOV,0.371726716025461
NSC,3.7552577168910997
NTAP,4.7248067503536335
NTRS,1.8152677216757194
NUE,-1.1129077030853731
NVDA,0.9333661661286601
NWL,1.13029627970049
OMC,1.9682405994138135
ORCL,3.3376515209055824
ORLY,4.719014628016886
OXY,-1.2567436373620977
PAYX,2.9712987910154167
PCAR,2.1753645020945402
PEG,1.486217665764107
PEP,3.7954645502044118
PFE,1.9728422465727
PFG,3.1637432932905902
PG,4.127305208459779
PGR,4.168599217505727
PH,2.8695234184807616
PHM,-0.012156395643390803
PKI,3.298288182193744
PLD,2.002392229298289
PNC,2.1890858422528625
