ticker,sharpes
A,0.6717941758200932
AAPL,1.0943059782808735
ABC,0.7204105172847662
ABT,0.7878609829502079
ADBE,0.9129578391294317
ADI,0.6953707895333798
ADM,0.3330289532247465
ADP,1.00679514025385
ADSK,0.7481179732903288
AEE,0.8474174640639822
AEP,0.9433838200330962
AES,0.3320862887758985
AFL,0.5919867425100479
AIG,0.36587289540628426
AIV,0.8103011781495758
AIZ,0.7995912392128826
AKAM,0.519348592436796
ALL,0.8298745424970131
AMAT,0.6704653564683197
AMGN,0.669995716002479
AMP,0.7700379502881528
AMT,0.9734958426869088
AMZN,1.0252581119199282
AON,0.9338349871430373
APA,-0.08042710294511907
APD,0.7522454805346874
APH,0.7987944374653553
AVB,0.742952609009449
AVY,0.7558029692786036
AXP,0.7658054754025583
AZO,0.8892339057528608
BA,0.8910936226148881
BAC,0.3918196371677363
BAX,0.6270851877211955
BBY,0.43524463023497556
BDX,0.775778783868862
BEN,0.185498800728488
BIIB,0.597767855260616
BK,0.272268243828164
BMY,0.6383604686421505
BSX,0.5252819659620224
BXP,0.6232476690740814
C,0.3842365269659147
CAG,0.48041657111623964
CAH,0.46036920500972156
CAT,0.6086663483284428
CB,0.7436793119477545
CBRE,0.6346101306711278
CCL,0.32505560245956544
CF,0.4254814855942164
CHRW,0.24495176169984756
CI,0.7844044812724207
CINF,0.9633418020703195
CL,0.5166676478770712
CLX,0.6948813356246796
CMA,0.4732741549567272
CMCSA,0.8448551074674449
CME,0.6851509186793463
CMI,0.6297743181904001
CMS,1.1349071423128574
CNP,0.6309257588408567
COF,0.6066602762588966
COP,0.3922975922118503
COST,1.0819793107592293
CPB,0.37939958934035795
CRM,0.9147581098305684
CSCO,0.47278970506184637
CSX,0.7813406718368104
CTAS,1.1911667328401874
CTSH,0.5893372099964511
CTXS,0.5739030507896086
CVS,0.4063200399708653
CVX,0.3847923555277706
D,0.7562242161072361
DE,0.6142422997321796
DGX,0.39425936504318165
DHI,0.6410100250444207
DHR,0.9199152346074578
DIS,0.8587889689658517
DOV,0.7333361816688323
DRI,0.6936828281733121
DTE,1.0028311585822771
DUK,0.7541829586774196
DVA,0.48350202728074715
DVN,-0.0917497955309335
EA,0.5521250262638087
EBAY,0.5823806299704888
ECL,0.8771550414091956
ED,0.7853323548084669
EFX,0.8178558085046799
EIX,0.5509050019614947
EL,1.0118918754676127
EMN,0.5913584782077842
EMR,0.469535698070003
EOG,0.3371163267774545
EQR,0.7788739540481378
ES,0.9617798067634031
ETN,0.6856466672056152
ETR,0.5045363271133004
EXC,0.17422914938487646
EXPD,0.3915345325056398
EXPE,0.5457679460180337
F,0.33965985496864276
FAST,0.6650736665966989
FCX,0.09244455829018129
FDX,0.4223518994111419
FE,0.35327817187335314
FIS,0.9566540931784457
FISV,1.1462384947389834
FITB,0.5887954144113967
FLS,0.32738406602657727
FTI,0.08586034330578411
GD,0.633036030286974
GE,0.18938516101215708
GILD,0.4562734816873592
GIS,0.506789869045044
GLW,0.3067475683487526
GOOGL,0.7896641816606181
GPC,0.6357956393851334
GPS,0.2022096481764394
GS,0.2682752131932389
GWW,0.6016718723747296
HAL,0.16102333358205242
HAS,0.6788736782108871
HBAN,0.510063258377529
HD,1.1867299501987432
HES,0.15955262788949867
HIG,0.6168909617353917
HOG,0.3693630147877393
HON,0.895193032068941
HPQ,0.21701455562146177
HRB,0.3125712728805052
HRL,0.9352346582931614
HST,0.40384656242342487
HSY,0.8518479555138356
HUM,0.8960415659386204
IBM,0.28793292587998903
ICE,0.6248701675575418
IFF,0.7063620298493832
INTC,0.6813336678042061
INTU,0.9829385499596516
IP,0.5283567211295704
IPG,0.6151926830445803
IRM,0.3362106293449057
ISRG,0.7980613752670148
ITW,0.7948946559113564
IVZ,0.18274761976775863
JCI,0.608060193106304
JNJ,0.7448369702200577
JNPR,0.12107606084712748
JPM,0.6328875599520267
JWN,0.3794048328542867
K,0.3500204448107391
KEY,0.5379303611421092
KIM,0.4567445640832243
KLAC,0.8479795205925849
KMB,0.74985395754929
KO,0.6978362243434953
KR,0.44463630819841576
KSS,0.1855691769680572
L,0.33562957672595595
LEG,0.622455718852228
LEN,0.6536933269060663
LH,0.4523108758154077
LLY,0.8312562404996254
LMT,1.001056401306402
LNC,0.46708425129748005
LOW,0.7927204965604774
LUV,0.78900956938852
MA,1.1642639577498979
MAR,0.785678604608997
MAS,0.6414823182898197
MCD,0.9284770131206046
MCHP,0.6865397882812053
MCK,0.5177368128000933
MCO,0.8820396333225482
MDLZ,0.711775198353973
MDT,0.6773653805350716
MET,0.36993228073408313
MKC,0.963774994498406
MMC,1.0029429050769738
MMM,0.5815301377814589
MO,0.8061036177550309
MRK,0.7152179615173916
MRO,0.08691796420790586
MS,0.3153089623031733
MSFT,0.9447736868265044
MSI,0.8252118647508816
MTB,0.6114177760340334
MU,0.659119068562978
NDAQ,0.7488588539495971
NEE,1.0299001207471385
NEM,0.177636082717258
NI,1.106307408058287
NKE,0.8924496072490143
NOC,1.1056533955806247
NOV,0.05621423891880602
NSC,0.7703294437711283
NTAP,0.4293947515815973
NTRS,0.35437439644156365
NUE,0.1877014018635564
NVDA,0.8706099359594284
NWL,0.3591293673494095
OMC,0.5159270715409965
ORCL,0.4445389803473225
ORLY,0.9520247683252466
OXY,0.017432416119084616
PAYX,0.8230295574426434
PCAR,0.46809892931762387
PEG,0.49812567110720757
PEP,0.7495067362503611
PFE,0.6344168962123068
PFG,0.49906711400036025
PG,0.690954107940674
PGR,0.9616062354409043
PH,0.6645348841126933
PHM,0.5568549290835207
