,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
ABC,0.009588852361424443,0.01116140271908108,0.013095371764790316,0.011654349163458307,0.009783826536942592,0.011356947150711784,0.014602599711082666,0.012413998666776971,0.009832959690565187,0.010146032116376082,0.013557335374619783,0.011511029749818259,0.010586160718968493,0.01088126564483233,0.002832398934644601,0.010159576996226386,0.002696970046152371,0.0020905638207939494,0.00884410468572971,-0.0006194679884827426,0.003148867906240626,-0.008028414952292952,-0.019010550802002403,0.00783518278520017,0.013134011319592688,0.010741940658871454,0.01859142637463108,0.010960717445185838,0.004267088976176752,0.007289248424907233,0.011962463135970557,0.0014529920202597045,-0.009757118987260052,0.023702343494535844,0.007486639400441695,0.007199476308700965,0.0061929653108675434,0.010024798166172848,0.0006991698855278404,0.007847465514412216,1.3789450766757485,1.4263405474853668,1.3963409675735305,1.3997729899452185,1.365818318910708,1.4073139022689765,1.3459733985713251,1.3571210137180074,1.3620849046208117,1.2742712507101834,1.2829162553540945,1.25539091944978,1.2489082256904664,1.3853228143441607,1.27385754871805,1.3213227167415431,1.2933827477432571,1.4738443112139035,1.3975520752731894,1.4710258147530906,1.467046234931219,1.34867357111343,1.2097250822331573,1.2524393506225913,1.2788497699951726,1.1935649085008415,1.0985679953334868,1.155649532404701,1.1160084323245048,1.1252972941164539,1.0799601116527182,1.116960028579665,1.1076989008244595,1.1128892061963322,1.0687088346173477,1.126149007277342,1.149384714635619,1.155970678588421,1.1161879923144133,1.1757012441584969
ABT,0.02969832378474695,0.029355744646121135,0.018797618124396093,0.024196629380397315,0.015523859223106368,0.024231283079592023,0.014011336618786514,0.0313330502666745,0.005084525812092592,0.026853872511312087,0.019900794031306273,0.027879370427865986,0.030712543025171086,0.015667165573901572,0.012759527208213967,0.011095987711541194,0.021882614927777565,0.013725490652573743,0.009001008112908646,0.011235684147076552,0.012654654937197158,0.021901877649909147,0.05318482422554821,0.01776770538243626,0.013900539245056921,0.018595291778796035,0.007972349067790195,0.015440234992844769,-0.008329746563030104,0.015152090532791554,0.005910815805436822,0.00397745639555312,0.008346251799357768,-0.010859016393442623,0.005894962486602358,0.010714024702185193,0.007859067241788462,0.009736054664820687,0.009939358083123798,0.014701798997471758,0.15570373395935788,0.1676973161739168,0.14427572736042546,0.16533874475608565,0.15119326617354806,0.16763316756209728,0.14664477085445785,0.15509085902688496,0.16463131456511432,0.1721630376668552,0.15151024017139506,0.15853755727266453,0.15449874290478108,0.1611801149116745,0.1259855168176496,0.1269370691973535,0.12165956603795432,0.13165415686913604,0.12587009745091451,0.1338396624472574,0.12005457025920874,0.12816474863718957,0.11363267200371273,0.1171671388101983,0.12342720191731575,0.12577884452202584,0.12324343416504781,0.1338906881574653,0.13423804339570095,0.10126077545285384,0.08936758502969515,0.0932804879762758,0.09452164765806666,0.09952786885245901,0.10421955209567327,0.11352773514580136,0.10687214707483562,0.11559704047757284,0.11144801064931223,0.11660601809227351
ADBE,0.022818838100222075,-0.004400158907214912,0.01600414042974328,0.01856029482457136,0.028949812565173726,0.033023598146109126,0.028229882368570776,0.02751124858448417,0.02297263150557216,0.019321039289268163,0.020279746160722537,0.023903482360136293,0.02090931756789944,0.022290088458365376,0.006405552941648646,0.007445841681363772,0.008110292631849661,0.006292690248391713,0.004591698401367496,0.008535027143231634,0.004258372658590695,0.008171462759144429,0.007711186943959816,0.01320984689911667,0.015159802909093753,0.018991645569102114,0.02137629634884752,0.019978581922917023,0.02189523281332007,0.031447974732893715,0.030544471303202207,0.028012929389669955,0.03017002814806985,0.034504975248280834,0.03894056727608836,0.043734704951473954,0.04327795827644486,0.036136794261845344,0.03456664815568257,0.03216698500943943,0.11699290166321143,0.10399043590588991,0.1080796151675964,0.11777733566081686,0.12461499762993189,0.12380882892682948,0.12367064162510241,0.12268751118143592,0.11930305797009641,0.12814342673261128,0.11444798191292221,0.1200586344064254,0.11220960968588516,0.11563740942799972,0.09914436875099046,0.09829890347321191,0.09723508220902632,0.10035347732791486,0.0976118991024882,0.1029876114023651,0.09581090713648596,0.09951279591026337,0.10075749276326798,0.10408581595454451,0.1058156241595809,0.11140639742285659,0.11627905999336621,0.11449077879176539,0.11837266901050912,0.12657626271394118,0.1289132981361208,0.13260031874537034,0.13238645944452415,0.13804735092348722,0.13884189285259912,0.14478015622349705,0.1488134937079507,0.1313158270783212,0.13334399013695394,0.1395450370486307
ADI,0.031022291259215566,0.032572596716754505,0.032572596716754505,0.04860891812865497,0.051975695054854304,0.048316421592353984,0.04686188025383309,0.0418813641592564,0.03477447758323567,0.03477447758323567,0.026408939727926267,0.030096868539249033,0.03111228888495483,0.03188183932415561,0.02295371822877382,0.028158018543285816,0.02870984484150036,0.03158287303639284,0.023843544494636118,0.02842068121506892,0.02012667347563065,0.02620626181251389,0.02620626181251389,0.029132259105693076,0.0136367279329408,0.021650729967211457,0.022531891768507742,0.02998417837847052,0.037157675052237826,0.021280123990394938,0.0035144466844307166,0.003263841644291178,0.016444121159281923,0.016444121159281923,0.012859921791811038,0.018281801119671336,0.020169922879477626,0.021172111444333945,0.016263582496063134,0.016896193457803372,0.16790559217270895,0.16304902154308754,0.16304902154308754,0.17550925925925925,0.17787481192959484,0.1584770622842978,0.15324008860555163,0.1443243215451326,0.13569221820000815,0.13569221820000815,0.12278862882008036,0.12472891404880193,0.1251737796754109,0.12365144002674568,0.10882541446205644,0.11286525198612027,0.10982457637914413,0.10626129196537,0.09817034791017003,0.10531329194106219,0.08110044447713341,0.11317524478255592,0.11317524478255592,0.11648179216071562,0.13858642475451624,0.10126622761721019,0.10287132913763432,0.11315354624099534,0.12592070188768822,0.09648272124967328,0.043120447326815255,0.0679091801821407,0.07289856524392499,0.07289856524392499,0.07282410494446566,0.07282537241436869,0.0765345461708954,0.07807350876505804,0.07060112575073489,0.07010374799237246
ADM,0.01556762185744327,0.01691073399147007,0.013023572356616964,0.014137187777355141,0.009573759573759574,0.01717906594696081,0.013207504055937664,0.00902993387528737,0.011098243582320016,0.0019269679159841988,0.00953222800898275,0.006834644911318076,0.004066130473637176,0.004066130473637176,0.006223106463702401,0.005542024951538347,0.011484269446052886,0.008548180654598647,0.006442428337033105,0.013348359629351365,0.017861839745582364,0.01592204783428351,0.011818290782692076,0.009514888582133701,0.00616483597132862,0.017879821699828175,0.005796224893525869,0.0070826475135917005,0.008556444935136628,0.010661570570041993,0.008554125662376988,0.0072983049951080205,0.004926993251045703,0.01971823937141856,0.009562043795620439,0.014604567152625468,0.013513513513513514,0.0077143486885607225,0.005399643113716947,0.005514360803454102,0.4683154954332883,0.47460407408512034,0.46850832147497373,0.4977494611385825,0.46617271617271616,0.49119924900258155,0.4587665379430112,0.5420330386557012,0.5284211542173326,0.5613739281240967,0.5053992068421808,0.5456886386061175,0.4872207327971403,0.4872207327971403,0.5026373016240225,0.5601918584422685,0.5161407064273307,0.5518147741817517,0.4993726474278545,0.5382920110192837,0.43320341455249756,0.47457242146864426,0.4196571976507252,0.42363439163873,0.4052401105756293,0.4095176432502428,0.36249086464554825,0.38977006334480524,0.3972599302436454,0.41492116975533705,0.3781983345950038,0.39513975196340273,0.38048192152736793,0.4021219628156044,0.37776155717761556,0.44040768933040897,0.3983461073013312,0.3905419636078662,0.3546615373919492,0.3824150553782617
ADP,0.011626241503349552,0.010669315413748484,0.011535977042376709,0.007739500115403802,0.009019103659780627,0.009494707641999615,0.01018838168687675,0.007062266526083363,0.010802920750030335,0.011544002659738213,0.011489202841317448,0.008385390469082118,0.010128018418197923,0.011728172817281729,0.012017537089550195,0.007034811470151636,0.011146048512107674,0.009837742486000136,0.014252729086114793,0.00901044250382975,0.009772213412958777,0.007620146610241569,0.01319416934134254,0.010153878678968907,0.009790490484376227,0.008556498201731851,0.010415525685762123,0.0064575223265399585,0.010737563123591186,0.012772691590373855,0.013405265882127605,0.007149004841312534,0.011258766555153935,0.010494887250115052,0.014594183658417583,0.0029308118106053864,0.013507337632661352,0.014384262349154648,0.015638129897938224,0.01134939373610869,0.08605301173264146,0.07447574065252426,0.06983324853799498,0.08153836990268853,0.07219816768084356,0.06970848400045315,0.06223375099768249,0.06926161637698133,0.09002433958358613,0.07951509032027682,0.07085008418812427,0.09766513605166231,0.08749639232884711,0.08244224422442244,0.07753514762375424,0.08709840368661309,0.09631868336877954,0.07783559227384935,0.09071905783339937,0.0959013094469248,0.08520231328683367,0.06117495075063616,0.08170090521272094,0.08069041542713036,0.07894055607426347,0.07035175879396985,0.06354155256857622,0.06636821616670484,0.08494819060266648,0.07468362025430382,0.0777728880264685,0.08243410435718128,0.08633497003737967,0.07263135445780157,0.08380705994485482,0.08947738799149067,0.08881595651139731,0.09034357823343117,0.07982770461632947,0.08352571279874521
ADSK,0.012740779131035674,0.020472376593658057,0.014749970020386137,0.023722772277227723,0.02076633993258688,0.022097861960109055,0.023878437047756874,0.023943235699633452,0.02422628951747088,0.022306214759278766,0.023786554115164307,0.01913563790396635,0.008573428204829115,0.017291802061089965,0.012961279343543838,0.014609428645845666,0.013328705310656021,0.011730141458106637,0.006087854407778686,0.00665476038610367,0.0022589089680797162,0.002340347592494607,0.003999246215373019,-0.04408626305739638,-0.008390804597701149,-0.006744873352310845,-0.033233440909789455,-0.019455561279074374,-0.029570115132941274,-0.03613930514161856,-0.029245836530216184,-0.03307303628847037,-0.028853564547206164,-0.04217716841695838,-0.02106662576059723,-0.01027915470910514,-0.006279143704959729,0.013680960839042544,-0.005032754497244463,0.00825004617563158,0.18005528202470417,0.1863762667538411,0.18971099652236478,0.18724752475247525,0.1846886986168688,0.18930262591476538,0.18203431879264007,0.18371052897064263,0.18256239600665558,0.18353057810273252,0.17744950256255654,0.16845878136200718,0.15980403592674677,0.14086435799832886,0.13296967153880224,0.13300026045983,0.12847390952215665,0.12766050054406963,0.12745772920879406,0.13545520261938174,0.13046782638067894,0.1352517399975579,0.13536715592872547,0.11410011606574563,0.11490421455938697,0.11754573640599786,0.09833640694636546,0.1091056781709395,0.10138325188437008,0.09978950001042079,0.10960418829263889,0.11525034451079468,0.12410886319845857,0.13462660443407234,0.14314567673978626,0.15958779024262978,0.17510067825349723,0.15590374693394232,0.15295830300509514,0.1635233033020707
AEE,0.009621090107654488,0.0033207229928541404,0.004305977710233029,0.006355843612795317,-0.007066988278109264,0.0022113544546034447,0.0030434223498649747,0.0058997050147492625,0.012202431923274533,0.0010573059843518714,-0.0175990217913446,0.009181897302001741,0.015916248191335435,-0.05294252347149073,-0.006605320699708455,0.004264679475668881,0.013491177127540764,0.001758387985932896,0.004535575923651138,0.006901982582916435,0.013393673432071677,0.0021167754454048332,0.0047194546407970635,0.0064789219073946094,0.014621254102902936,0.0012267343485617597,0.004490057729313663,0.00617828773168579,0.015289632883069528,0.0012955990121057532,0.004111079763008343,0.007642353686544706,0.011242534254596558,-0.0023125843129697438,0.005790099313623989,0.008971808251060476,0.013242330946993583,0.0024986220834098843,0.006943182231269766,0.006369426751592357,0.07692633720437399,0.07040773434216058,0.08088483620398514,0.07125235208028434,0.09593330794295629,0.07501594726770147,0.0816151571006044,0.07614039587875679,0.09710566877890049,0.06673715373229012,0.0724049085112887,0.072236727589208,0.08515618350497915,0.06910922830318296,0.06719205539358601,0.06298258215119411,0.07317400044672771,0.06282672749738619,0.07530945856562411,0.06573096164535853,0.07633936734320716,0.06041629917092962,0.06799510575074287,0.060513130615065656,0.07813632294641715,0.05532994923857868,0.06132135984605516,0.0599756230824192,0.07702825888787602,0.054901008137981294,0.06102132118818266,0.060901243367387344,0.06726002264121482,0.054037386779726346,0.06077687027876836,0.058673373625136076,0.06394895953113988,0.05214036376997979,0.056563306554218616,0.04906949436003274
AEP,0.009408174941198907,0.004943327541987259,0.006952141057934509,0.002723431523719887,0.011144071193778561,0.003508076503815281,0.007001582278481013,0.0069356872635561164,0.018149139429933382,0.005955230454014515,0.007353219159956145,0.006776361356021041,0.009044815482049664,0.0003862637261574117,0.006654445462878094,0.0061478018879935975,0.007878027036369922,0.006133229340234693,0.009818016059469126,0.006768483165567512,0.008511005610703497,0.0032029245551959485,0.010476698091208901,0.007056352358134497,0.00849441071048626,0.007605000397191451,0.008020932521424627,0.007929927302419093,-0.012463786986100713,0.005883307572198142,0.009593654774228352,0.005977133876641521,0.0085156077786411,0.006190415130134669,0.006925826290400019,0.0079018873906275,0.008542179971427474,0.005281761788764411,0.0080993184581884,0.0063583735354927635,0.07515945161358677,0.06788284934226856,0.07191939546599496,0.06728477882131485,0.08145594484085625,0.06806064810226935,0.0737737341772152,0.07111049810844892,0.08465039951550199,0.06594795396664305,0.0685229291898227,0.06647198667190805,0.0771873781178612,0.0664557544098442,0.07013748854262145,0.06515214900234635,0.07597838545930899,0.06688056156273266,0.08148953329359375,0.07018396390142312,0.07426845058264998,0.06751295423674811,0.07841700256504214,0.06468869999015393,0.07253801207875743,0.05859303439677967,0.06473238219455402,0.06148260106669446,0.07571693629764656,0.059716989901950124,0.06371955812811951,0.05700591815948906,0.06417113135485243,0.05886687749404827,0.0617029546026109,0.060014864640549365,0.0640826177877292,0.055246298115774355,0.05736263114730918,0.049257064093728466
AES,0.004712055220193067,-0.0012141140761350701,0.004464925266224154,0.003537996609419916,0.0027285782671134513,-0.010762508948186911,0.005530864197530864,0.004081153981470622,-0.0032042658317638136,-0.004610328017117773,0.0075058880500099056,0.0032749304077288356,-0.037914691943127965,0.004183600286875448,0.0019195655227304648,0.0040895288470957,0.0017212121212121212,-0.005097621934621761,-0.0014155663485710102,0.0033728095757360587,0.012518277197752867,0.005286660165272288,0.0037371371424059796,0.0017883060335890525,0.004864864864864865,-0.002306648575305292,0.0034146341463414634,-0.01303618759128036,0.004715964212568718,-0.026274260084719954,-0.0006573901610605894,0.001453289094847679,0.003914095895349436,-0.040529113312394296,0.02099898689098333,0.008896524220020248,0.0031087444981378314,0.003935918329694659,0.004600997878760719,0.0005114627835609844,0.09775604289243779,0.08620209940558998,0.09818060264552791,0.0987936414338714,0.09935375777884155,0.10871121423810817,0.10528395061728395,0.10657910167702592,0.10715945503020816,0.09169920367061522,0.1043340450353283,0.09806077335142342,0.11091498210658671,0.11049486014821898,0.09984081651762723,0.09961798413164855,0.09704242424242424,0.09361312513919477,0.10401972030361457,0.10932467730073796,0.11392145294102557,0.10604116409177232,0.10485038292496776,0.09998963300850093,0.10056756756756757,0.09226594301221167,0.09406504065040651,0.08733163844863959,0.09545111566239085,0.09812010299288464,0.09565026843431576,0.09514930488908388,0.09352629139413916,-0.0019328340178787146,0.08411874865686304,0.07782924809031506,0.087321862784327,0.08062482703483903,0.07917301544620717,0.07470365244599554
