ticker,sharpes
A,3.3227680052296913
AAPL,5.361845075344633
ABC,3.640653587717236
ABT,4.044678191397412
ADBE,4.282430044228324
ADI,3.437769794394056
ADM,1.8693994422524798
ADP,5.006136295205204
ADSK,3.659542125584223
AEE,4.301139450492044
AEP,4.830147858903964
AES,1.667733805824688
AFL,2.96755467081067
AIG,2.657302131278015
AIV,3.946254862771297
AIZ,3.9491198862551373
AKAM,2.4382558981313234
ALL,4.111578999995595
AMAT,3.3665307991448623
AMGN,3.391134949412066
AMP,3.7503216243255957
AMT,4.7527204851275195
AMZN,4.83858194534522
AON,4.661687475519269
APA,-0.09392856573703688
APD,3.7946530792262094
APH,3.9146035620317687
AVB,3.705255484829528
AVY,3.7567661623207944
AXP,3.808361659662721
AZO,4.4189429649745335
BA,4.427810174964794
BAC,2.0342493414317087
BAX,3.3525843142640306
BBY,2.2048409608868953
BDX,4.02169302716145
BEN,1.1372838632717166
BIIB,2.9297813244156106
BK,1.5094245298722964
BMY,3.333519136313553
BSX,2.601768250118879
BXP,3.118450075383651
C,2.0575478810920558
CAG,2.619959561521315
CAH,2.3930688622684126
CAT,3.182960272958357
CB,3.775434314078905
CBRE,3.107361524463107
CCL,1.749011989558661
CF,2.1678830179976734
CHRW,1.3814391265393826
CI,3.805621480927789
CINF,4.77806882174045
CL,2.8381753595482744
CLX,3.656746334813892
CMA,2.4009264147395983
CMCSA,4.2277948931079825
CME,3.403290144942078
CMI,3.1306306412488167
CMS,5.669442946207253
CNP,3.2796188660487977
COF,2.9405909973369404
COP,2.0334241410182172
COST,5.383699116697416
CPB,2.1981058431223666
CRM,4.187204723389187
CSCO,2.516291584586574
CSX,3.7797225565604373
CTAS,5.735552449089954
CTSH,2.896382058278477
CTXS,2.8925736990531465
CVS,2.2809330967923804
CVX,2.1263739741932683
D,3.943066096175114
DE,3.110444000703174
DGX,2.1757724055879177
DHI,2.981559304970575
DHR,4.555481922677247
DIS,4.319216277932384
DOV,3.653740734262479
DRI,3.4405752911175305
DTE,5.056396290582046
DUK,4.041661757273152
DVA,2.6451592573715486
DVN,-0.05019335464821995
EA,2.718150201415784
EBAY,2.8945044760648324
ECL,4.39306503193796
ED,4.208959061112541
EFX,4.126092044597082
EIX,2.9372618938826713
EL,4.891429322146478
EMN,3.0380032542800217
EMR,2.5015966848540603
EOG,1.7250014404401832
EQR,3.8297416378366624
ES,4.88765295416948
ETN,3.469611288942776
ETR,2.7889346280562735
EXC,1.2413528239513347
EXPD,2.119381489137692
EXPE,2.573216891669086
F,1.8749770527544047
FAST,3.3380470203484864
FCX,0.8636926596020987
FDX,2.3042884156454453
FE,2.0294354102781065
FIS,4.707611838547949
FISV,5.588560409996437
FITB,2.8614193636529417
FLS,1.7723976646842166
FTI,0.6188719702898321
GD,3.337102084335908
GE,1.2536930686698284
GILD,2.3325307251087963
GIS,2.806860650596529
GLW,1.6571631575329062
