,2020-02-03,2020-02-04,2020-02-05,2020-02-06,2020-02-07,2020-02-10,2020-02-11,2020-02-12,2020-02-13,2020-02-14,2020-02-18,2020-02-19,2020-02-20,2020-02-21,2020-02-24,2020-02-25,2020-02-26,2020-02-27,2020-02-28,2020-03-02,2020-03-03,2020-03-04,2020-03-05,2020-03-06,2020-03-09,2020-03-10,2020-03-11,2020-03-12,2020-03-13,2020-03-16,2020-03-17,2020-03-18,2020-03-19,2020-03-20,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-06,2020-04-07,2020-04-08,2020-04-09,2020-04-13,2020-04-14
A,-0.01368710982251788,0.008086882091549974,0.004732065913348561,-0.005743733182420787,-0.01701929359435643,0.016738913467286905,0.0007056046037290808,0.00035127375598212866,0.004347858439674932,0.0011665710767272141,-0.010156464036749347,0.007674162329381241,-0.006596056277073005,0.013945150746921348,-0.02091949884658997,-0.034076829045777315,-0.006992156447390934,0.009780907629304954,0.028011183672505727,0.060276856930147074,-0.019172056496836162,0.031551937592912395,-0.020452889185040592,0.007825537321785852,-0.02534779488520488,-0.001916487115671225,-0.027134055121187797,-0.009062528610229492,0.040132244369981494,0.0113546350376666,0.06694950050113406,0.056450378391739144,-0.04056023843249004,0.007122309985119269,-0.051347364718163556,0.022432492722211796,0.02800949309427292,0.053142874581473216,-0.008944784938520198,0.022656919021479118,-0.009952911636124478,-0.007917130302192987,0.058883909039553387,-0.017989135852696826,0.019048915532347086,-0.033677089289907626,0.03397605952100526,0.024859368288531063,-0.015883307310898605,0.01979299765709495
AAPL,0.014328018547627983,0.011227073585778196,-0.006398296479149386,0.008184220699123763,-0.007258728707180061,0.023457875386714976,-0.012330100978665517,0.017824403411110898,0.0020975127877490645,0.0006467388648520639,0.011542411268124652,0.011312484741210938,-0.007221947911168622,-0.01748166282586916,0.0030948761351438144,-0.042764662278571376,0.021359003047710542,-0.026965552918033,0.06258250398344178,0.05855887363886877,-0.04725526218916757,0.021252151332760812,-0.008797968606506733,0.02492907368544991,0.009175406361078199,0.02958786626267271,-0.007065942785072384,-0.03012427381543173,0.04937893408185056,0.0010746425662514934,0.021615313410577704,0.028777552544244092,-0.010550145991312748,-0.07257863789222027,-0.016266251683982776,0.04450839501309515,-0.020857410678121885,0.0483530665356106,-0.0198219367233865,0.016231921417664035,-0.005125245642021892,-0.02267746993059077,0.019097929632309777,-0.005724873855755803,0.046114019950882386,-0.0419866899177265,0.012674192028679138,-0.0026424337193895757,0.018411548158310607,0.02517852783203125
ABC,-0.0027927098713744843,0.010785941429187358,0.025917258601729585,0.003907952666283651,-0.02087325934635346,0.020719755606440373,0.0025442368187309924,0.008210513466282895,-0.004214091167247552,0.002124011687168908,0.00021207596640412455,0.00570885861543301,0.016105250308388157,0.008840337604074978,0.0022170511166205134,-0.025482385587484977,-0.0009595305368539599,-0.059315660324281996,0.00921599778505581,0.031113272457027906,-0.017730444461549928,0.012093999605287778,-0.011704531582919035,0.018032941351960558,0.044924006675648206,0.008435866825720402,0.01046618975087777,0.0003728409102438609,0.07526885640932059,0.05921052631578947,0.08104842384672796,0.0008244958017212956,0.03502231063142264,-0.07174108694452752,-0.07921286010499469,0.02753827583143073,-0.05267792800073129,0.10926585759087522,0.010378012262832728,0.054710879463784994,0.0029465338001466914,-0.022446386442459394,-0.00886105866503262,-0.023177619586664,0.011368978248624729,-0.01879155785672655,0.015988030257823332,-0.0041959939362839135,-0.02409776917752406,0.020892817759635477
ABT,-0.008202338012255008,0.0009075647154833085,0.007764091264622541,-0.005888875325520833,-0.015241516969481141,0.012498612300515738,0.005979228146957426,-0.008597550960881207,0.002033901753398658,0.00888939902230089,-0.006038927830294687,0.00596643890996284,-0.007182933789099042,-0.006701544311105284,-0.009596251891277418,-0.04474276507833986,-0.009375339934452045,-0.01504973957100219,-0.001167063849581427,0.04789424099228371,-0.04400593143794912,0.01772864630370702,0.002864562522312582,0.03994910242501183,0.005351729923618418,0.020825366989461074,-0.005602985460917253,0.019923568624364337,0.04800407762769027,0.04260441714396727,0.052568874432909765,0.05708186966760242,-0.08431662437178931,-0.08170159084975481,-0.06336663216546834,0.07364040224337802,0.026105919237516397,0.06654467650101464,-0.03793551537298387,-0.04213455772079419,-0.030946784153533063,-0.005584419547737419,0.04361533861049807,0.008376647100466992,0.020350289696798383,-0.01821446013963484,0.02969693270596591,0.012235304888556986,-0.0054448705093230725,0.024597694133890086
ADBE,0.012987737444690613,0.009107662067799189,-0.022567455444775415,0.0035503271246642553,0.00024589163358094263,0.012478101817342475,-0.010052810798786954,0.00984781392248351,0.006119816389944795,0.009009287390866283,-0.0035507786958736414,-0.0014328942818676858,-0.013125022252400717,-0.01341192781860342,0.005683865416618722,-0.03656513076739958,0.005552382585275626,-0.0072941499597886025,0.06380611809592972,0.02993053741681406,-0.03709645363076161,0.026722730092615398,-0.011350190973377182,-0.010809290825113891,-0.018897536798219546,0.04200888279817231,-0.02802786178036641,-0.018628847470433176,0.072296071222767,-0.00808013140042629,0.07077604563048455,0.015896501212284482,0.053946674931038135,-0.05618054562017866,0.03572985170784556,-0.04012878312476914,-0.006785702395748782,0.054511662883427014,-0.018832291963038976,0.030755283594428924,0.005783592652209083,-0.018859962687041938,0.020822076457927642,-0.027974615226539927,0.04100341670252071,-0.05644302489119939,0.010513533011447494,0.00015696943827064308,0.014907866742678882,0.036499681847484505
ADI,-0.006323369173799266,0.0017815512599000838,0.013903358087098408,-0.009834115801862789,-0.02373915962550951,0.01794245602797128,0.030233586579474354,0.011923974557682276,0.005497706825923524,-0.011759777320377269,0.0201324638243765,-0.009355494896736576,0.001205800032467857,-0.0013016273600569039,-0.01659121659374822,-0.032731543980524254,-0.009829341145426137,-0.03666605692461712,0.04896117749240528,0.010718506171569836,-0.026604924891023243,0.031743110866721616,-0.0014674496423568203,0.01904761904761905,-0.021082205212865544,0.02307006143365722,-0.05096501330657472,0.0024501750580234183,0.05174961851015965,-0.07379783530358096,0.10796381608606566,-0.05958370241313624,0.09558463149026021,-0.07932043653906042,-0.007227735206463266,0.04399648731725739,0.018346609983325005,-0.02020518414661351,-0.006609947940452432,0.01597051921548285,-0.010048543034975922,-0.02266393022881533,0.05497413503927812,-0.009497675212857402,0.06279125471970397,-0.027974113683838096,0.04299527106244928,-0.025162773973871243,0.022046776044795626,0.01198421959465283
ADM,-0.00022241796662135743,-0.0028571663322029535,0.006334664116646746,-0.004546418937350347,-0.00043735967557138086,0.001754426178327399,0.004792971649071134,-0.007399350314311956,-0.003302459648362502,-0.00687669389306595,-0.000674432994730349,-0.011910084928019662,0.010971418108258928,-0.004309336041084869,0.0014032127138976047,-0.05735600651620388,-0.01942943724771374,-0.041528689633509155,0.027846039531009906,0.017020202913134275,-0.01322266853949809,0.015475843875079047,-0.001302741940309233,0.01867384607474886,-0.005353689276423226,0.01810202589097666,-0.017922134025669036,-0.043372770768289486,0.04937901093596682,0.0508038554445634,0.05159557426839269,-0.003320271862515229,0.01640343091017384,-0.09678367773292841,-0.03011250390763484,0.047649896115964326,0.009882633856344254,0.040458943109985025,0.0,0.06068688945643837,-0.018962640647013494,0.005044455937587479,0.018090171656845594,0.017621212988613157,-0.0016741454530011524,-0.022548269494413246,0.006900358905844152,0.021473250771078974,-0.031937699418018044,0.010309307157431705
ADP,0.0003450515120136195,-0.004245202964698018,0.0014015810217169779,0.0028372434316324756,-0.0037823599977660958,0.003918039482222649,-0.012649091702063107,-0.0036935679282101693,0.014875750107001538,0.006050157169928329,-0.007884913595929329,0.004155124653739612,0.0005535291112479497,-0.006785323692969746,-0.0070543036851477585,-0.042771265283471006,-0.015798805733404215,-0.039802504428080934,0.008669589983089112,0.047894547104337055,-0.03953473486733738,0.03768464391936478,0.007714473837838045,0.03734842781857695,0.012206519053836403,-0.016119775906279242,-0.010958900478023774,-0.05285353770385126,0.05482147752166266,-0.04372949071437253,0.03969467707950816,-0.02697337514286966,-0.0036502571649921936,-0.05768584524030861,0.004975591279840262,0.054945013266602415,0.015153976227954377,0.1137656450328958,0.007824518776351874,0.04093665919631355,0.012594436227970249,-0.0020002655437913056,0.029987486646170285,-0.01629678403792866,0.03444439923321759,-0.05895277564976454,0.0038405708644701085,0.01633037591594358,-0.004991777576619569,0.022384834203802856
ADSK,0.007075679228574361,0.009603972482209159,-0.02244581734833958,0.011688463509896257,0.006955893876080494,-0.005500865467242236,-0.007475297835216857,0.0016928134688263064,0.0056702442071840985,0.004132830147947708,-0.0115052448945667,0.0068312839214293005,-0.017914865181160776,-0.015073152867759147,-0.006085101535398113,-0.04957502637882462,0.011029226742907483,-0.019485516118337768,0.08104432783036396,0.0008391653833635743,-0.038860808169125696,0.04089181360546362,-0.007710184532045431,-0.024798985641911242,0.01412999381604294,-0.006763347431741339,-0.03227833943445793,-0.05417618506060591,0.0823972519129923,0.050287226481698276,0.034938844560352386,-0.023412710838069176,0.05500175996570467,-0.022712282377650883,-0.024829160608642042,-0.008528881230630165,0.003949207635767992,0.06648987983742032,-0.09150994249679925,0.0922656414608029,0.01363640326958198,-0.05632751052228644,0.000584082867355594,0.015413840454083016,0.042430963688842666,-0.05724972436374872,0.05583933816985394,0.026071725515369827,-0.008930202573422998,0.042683314947710216
AEE,0.004864330294967059,-0.004597760142732907,0.006941903429390051,0.005440001711817704,0.0017975018737501096,0.002746308739505597,0.0013069507624861526,0.007265371808042032,0.013952942053138007,0.009186057157294696,-0.004704034475478272,-0.008771954542756751,0.0012858048676516359,-0.003735784619868061,-0.0021176506491268382,-0.015783320885768195,0.005665003051127386,-0.04204347348093292,-0.013486536043457823,0.06469917006159805,-0.011999459769604426,0.039765965082445114,0.005257062916569628,0.018374907056293483,-0.004878067388767149,0.00731794718568015,-0.0011116148580575444,-0.041059582438689984,0.006476312979811853,-0.05812624807126783,0.147393346505335,0.05852097500137868,-0.0634528045157268,-0.11986013559194711,-0.027108478908256413,0.02981071520758511,0.05317330123427739,0.08415254062021955,0.04755178476905069,0.028282052365428544,-0.05107489470938518,-0.03118295223831211,0.07210171734992832,-0.020794745812716346,0.04325237846725773,-0.05433633849174817,0.053937870791786614,0.03227494133152028,-0.027200444959901142,0.014994073496669076
AEP,-0.0023930314643325263,-0.009150423338804422,-0.005937901201386377,0.0026475449517432206,-0.006860099680087318,0.0024589358168825215,0.002156874712775735,9.82721197723505e-05,0.006360093398124961,0.00591372371621848,0.002401998420463197,-0.006241013119115468,-0.005536665485388838,-0.0033317389232483683,-0.015644951105586603,-0.020552779796407905,-0.009857735829892416,-0.05600654696307596,-0.008552667483135334,0.061864802873661834,0.00473680998149671,0.03579948998563818,0.00426957565536823,0.018769503584184482,0.023165624204671973,-0.036615118849625115,-0.03433432693649972,-0.00554215764424887,0.00046281285880023687,0.03932803842798932,0.09038734593211152,0.03834394571804926,-0.0817045731977983,-0.11735639725933665,-0.014362104918037718,0.005442357936337252,0.026758247907020145,0.11322807994998739,0.04524377201315519,-0.013668005473890382,-0.03265598619105432,-0.037185246828900405,0.04291734048601618,-0.04391404128505442,0.04968603519222415,-0.023921669532417787,0.05097149642493667,0.02762233306145837,-0.024988316264597098,0.008418113305029139
AES,0.017025546533720865,0.010789662937156087,0.0038684682072288143,-0.012001920351208539,-0.002433052988652992,0.0009756320860327744,0.008733639002677877,0.010120437805911145,-0.0038259169913841843,0.0038369267262533956,0.004298001446633726,-0.010879827288403391,-0.003354173423953867,-0.002403809562235963,-0.0039350675851587075,-0.04579026733778544,-0.041046651947428424,-0.01454733610906006,0.04562497138977051,0.08646385307160462,-0.03220432628179175,0.008484141173140216,-0.04563611597680237,0.042777468689268294,-0.06837058919524146,0.00728474529128055,-0.04065043171853531,-0.06738132359621664,0.00076984057413691,-0.04848488401462697,0.02300886942418074,-0.14260082989340572,0.15684208117033305,0.05887598975612566,-0.009181941642771738,0.0007905319512569127,0.0054901721430759805,0.04408350203952062,0.04669256108821881,-0.0065454656427556815,0.00740743566442419,-0.015384600712702824,0.030015807189649815,-0.040000017951516545,0.055813975838771374,-0.07676206471222662,0.06964421450698179,0.018685153033050655,-0.030075224238946065,-0.027758474862309545
AFL,0.003085821641672122,-0.006285749162946428,0.011965759452225428,-0.009391434715191372,0.004173804297559419,-0.0017035803420129066,0.0009453438766787481,-0.011693680243904632,0.0009540018547245946,0.005904788062686012,-0.009923672569109717,-0.00712632790703894,0.00019429169229620102,0.00487519512385269,-0.025920090019004045,-0.03245433060612136,-0.031217482285474482,-0.029932246409938183,-0.010621170274393077,0.05032472257409974,-0.0377525426232919,0.008146653576358649,-0.0377226865992622,0.026686745368004947,-0.010789469668739721,0.004610663446582807,-0.025586948683919374,-0.05956299850963054,0.03428734883096706,-0.03687709622206202,0.021687542686701217,-0.0929648275608996,0.06873259980105073,-0.021595906265682217,-0.027998477585081605,0.05854547674005682,0.24719859391169152,-0.038440867630315234,0.03569342334143817,0.017681651263876722,-0.04196977978609732,-0.004990697065098651,0.0063231352591223335,0.035132558295513795,0.019982695215730914,-0.039795633151043654,0.04887537401461153,-0.010909043349228896,-0.0228047892997296,-0.006573757770828468
