,2009-07-01,2009-08-01,2009-09-01,2009-10-01,2009-11-01,2009-12-01,2010-01-01,2010-02-01,2010-03-01,2010-04-01,2010-05-01,2010-06-01,2010-07-01,2010-08-01,2010-09-01,2010-10-01,2010-11-01,2010-12-01,2011-01-01,2011-02-01,2011-03-01,2011-04-01,2011-05-01,2011-06-01,2011-07-01,2011-08-01,2011-09-01,2011-10-01,2011-11-01,2011-12-01,2012-01-01,2012-02-01,2012-03-01,2012-04-01,2012-05-01,2012-06-01,2012-07-01,2012-08-01,2012-09-01,2012-10-01,2012-11-01,2012-12-01,2013-01-01,2013-02-01,2013-03-01,2013-04-01,2013-05-01,2013-06-01,2013-07-01,2013-08-01,2013-09-01,2013-10-01,2013-11-01,2013-12-01,2014-01-01,2014-02-01,2014-03-01,2014-04-01,2014-05-01,2014-06-01,2014-07-01,2014-08-01,2014-09-01,2014-10-01,2014-11-01,2014-12-01,2015-01-01,2015-02-01,2015-03-01,2015-04-01,2015-05-01,2015-06-01,2015-07-01,2015-08-01,2015-09-01,2015-10-01,2015-11-01,2015-12-01,2016-01-01,2016-02-01,2016-03-01,2016-04-01,2016-05-01,2016-06-01,2016-07-01,2016-08-01,2016-09-01,2016-10-01,2016-11-01,2016-12-01,2017-01-01,2017-02-01,2017-03-01,2017-04-01,2017-05-01,2017-06-01,2017-07-01,2017-08-01,2017-09-01,2017-10-01,2017-11-01,2017-12-01,2018-01-01,2018-02-01,2018-03-01,2018-04-01,2018-05-01,2018-06-01,2018-07-01,2018-08-01,2018-09-01,2018-10-01,2018-11-01,2018-12-01,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01
A,-0.6904912663901177,5.454958909056865,-1.7478610997816306,6.221850792993917,-5.836870686883241,-1.4515824075898274,5.277099345893661,-4.677431678869847,-1.7204015884284816,8.738036794565863,-1.7282689206213586,-2.133422425304909,-0.1766565589470987,-0.526175391937972,-4.427668098686695,4.383963221690995,-1.038804222855846,-1.0572415662135266,-1.251893171319061,8.009091223889264,-1.6789406547867112,-0.309673699353207,2.0450629729158134,-2.1345637908958546,-0.8340057627169806,-3.3521239567171044,-1.7973769916707172,-1.1515192929992188,4.498869534977619,0.5356221087704642,0.23917181241201219,-1.9617651038204789,1.597896268654335,0.16610066062911732,0.25029404439980496,-0.7273720302749875,-1.07956508651184,-1.256126589446379,1.720358808662106,0.15722856755357312,-3.463364271948176,4.814274171269744,-2.1599618894452277,1.0536312296376769,-0.3824310498775725,-3.1496329533506833,4.782645782015858,0.31132040438919595,-0.6129932068550854,-1.638322111156719,0.5766690181535814,-2.9801541144840047,0.23977247035743732,1.2396189968379905,1.0233726097856142,-1.4316059054838812,-0.00957331932045391,0.22885937269650425,-0.268386133407696,4.748045930461014,-0.9934367849735457,-0.7570351645750469,1.0446024224925992,-2.5896573648496526,2.2898181013699115,-3.063175208854034,-1.3310048079633612,-1.047816680160926,3.8424992501834447,2.235420769540553,0.2689733228862865,-1.0712779888583974,-1.0171013167223464,1.4030890751071974,-2.696863074796472,-2.286961343363198,4.412080880392978,-1.8873273329208207,3.753866166474608,-0.9230849620516166,-1.719181795112432,-4.057248755474256,-0.9326450624065905,1.8179964407342106,0.9642916932106465,0.1732204703670518,5.8561939699208105,-2.070356957605405,-1.528100921862881,-2.3111221877318555,1.0104833900576278,-1.1914331729870018,0.2526409233336804,-0.15695433940103198,1.579550264932542,-1.4012030918955516,0.21564977941346714,2.5204932935272604,-1.5247687105951961,1.0314038246339525,0.3360959497121967,-0.2790645362138675,-0.9596975157511931,-0.48258578957906484,-1.3738400405537925,1.1737936746335031,0.38166599145064417,1.08305821313448,2.663380594799805,-2.6271517639391533,-0.5721310439614966,-1.1697225012812769,1.268064974777801,-0.38332202551824457,-1.7341952078446559,3.491315777749687,-0.9189587674173862,-1.721818436509126,0.12229495575784899,-0.675261462645458,2.978272416160218,-0.5233520002882645,0.7446011286667946,-2.620156591022509,-0.8988961864101834,3.957261924013961,1.429518835615716,-2.058105472266133
AAPL,2.1032104677372114,4.780253007522442,-0.18566238633525659,-0.8996818410597844,-3.047569300854619,-1.0703788965157133,0.4337008133179522,0.2940924565909145,1.2924610874830953,1.0918071793106896,-2.185654761303124,1.0225371177700513,-2.733163174686714,1.1548901807231902,-0.875626616146208,-0.6980101996829153,-0.3598582234448834,2.57834410008338,5.814288226763986,-0.6520272332907799,-0.24630753614502288,-2.697705802816476,-0.9835241004547532,-1.7267020083639064,-2.6712576500573117,3.464363478095895,-0.906732127766095,-1.148303022789668,2.3724870745780593,-1.0244693409037173,2.0484133209826303,1.2359303736588672,1.8836500824406337,-2.4343778576042054,0.782221539512048,-2.801709369991098,-1.549201221598792,-1.1406544164627253,2.8782738475451546,-1.0486856295618476,2.390069945232194,4.0290533996742095,-2.6052029461493524,-0.5703603667052635,0.042636927683807446,-3.1622402261450038,-0.7875258918809183,0.2541029824083054,-1.4244660228030892,4.685209843731132,0.19513024633526962,-1.302800135341273,-0.8739381258967466,-0.8429421765105809,-1.1541628309342262,-0.9399211291042766,2.359856607513404,-0.8615990186766295,5.16876199958998,-2.6659743429513902,-2.041949647532049,-2.295305904596593,0.9088666589418407,-2.234159879467073,13.844426475588412,-3.1477878281032776,-2.9579038249285956,-1.7817969844562311,-0.4250047345466501,-0.3369524857693674,-3.016922169477808,2.9022119000924897,2.7763338546943412,-0.767986052380495,-2.7835541698998627,1.2126298316857105,-2.52412339867703,-1.1650933308453177,-1.8583351969902,8.98847936216861,-1.6940190588992792,-2.17966197582751,1.99626952020568,-0.8753994150749937,0.30371283620405953,-1.64841980086734,1.011140830942858,0.9490645700952574,-3.3556669406309694,-0.7967439294427929,-1.4486704520059752,-3.2541084203074586,-1.929435796575095,6.284984044635236,-3.1786595711192565,13.99425252140946,-0.2841509757588023,-1.612914389727699,-0.9828918213815202,-1.5282667674766894,-5.362472812072405,-0.9215570686739614,-0.6610511829493552,1.2085063305873263,-1.2840134753611148,11.097633174652508,-2.9558583586622458,-3.0607195162845917,-1.0602823832276231,-1.7716232084875951,0.0249416738730813,1.8769134704927286,-3.0904098971066705,-1.0106722365800518,0.35520135955364973,2.042419313414241,2.4441549653746164,1.9825531803220353,1.2535048810084122,-1.70183917285231,-1.7333422957433549,-2.993598985178751,0.23471971068003258,4.203342620328951,-2.7373712231144287,4.4869983055872575,-0.07322055133571526,-2.325798409003061
ABC,-1.787386524481773,2.163800483351036,5.036962458474395,-1.7681149113317212,-1.5068639513894357,0.8083454389872855,-0.2792529551215941,-0.23294749477215398,2.4195596864575415,0.0690478810147695,-0.6435780932717703,0.06355105466003241,-1.00466619888541,-1.7515235811031127,-2.2560683721756303,-1.077681927910272,3.785533003615839,-0.8585600834289455,0.7877689460550987,2.4642301481843596,-0.992821994508996,-0.3875946225986228,0.00773914403584558,-0.5745077270940184,-0.9843980478341898,-0.23204236377834442,-2.4819212262793817,0.8293325766162372,-0.35919370546289553,-0.2751564128910531,3.790424196238198,-1.4104984414574593,1.9204870652998827,1.44211314752124,0.4521155775071339,-1.7867601466900673,0.6810369469695627,-0.1253284011310447,-1.1061015632430165,1.4711559616305256,-1.4697596213683823,-1.866182452488441,0.7822758565876649,-1.4681384773803583,-1.3851945466498916,2.044219801016609,2.6940833925056875,-0.5241066095158837,-1.665164018726318,0.9869497731483452,-0.38044629276649555,-2.9534202797164775,-0.8033205815098503,1.485829298656382,2.1970856138690573,-1.4493784414931612,-0.41145289633178334,0.20902934548527036,3.096202655842241,0.8474115771366941,0.37047214883071417,1.0583584431131852,-1.5168045865481945,-3.523403495958639,1.5818511039139747,1.8019127763625427,-1.468151189102625,-1.2279200907163765,1.7513151404995624,-1.7669856202352352,1.3338294780348356,0.4781411239995377,1.2090269487516447,-0.48445415633924527,-3.8049344423998424,-0.07975435886217613,-0.18279211827790132,-1.3610984835681175,0.2538764194395424,4.890061275591415,-1.295828230738081,4.476766522603815,-2.30516257069507,-4.115966726120711,-2.8188432234353744,1.385797578313294,1.0327285145972347,-2.0699338892627694,5.131992213499254,2.560122918916817,-3.2488080139715088,-2.877668473271866,6.442916078071502,-0.2574309867802688,2.1734623424881594,-3.8002379550459917,0.8524602581083938,-1.0620147015141124,1.0606853467010717,-1.305511377840585,0.5212600922509409,-1.2001099667007475,0.4731713954270125,-0.513967128181595,-1.1221971936894775,-0.37598146622316836,-0.9014897278966563,-0.9394098289031918,-0.2262238952392039,-1.6533042018352793,1.2834899816124858,8.82292684118842,-1.755342511756802,-2.9002264780987437,2.121922511690907,-2.5982387494077677,-1.5106767119545086,-1.563840688978614,-2.685938505459389,-0.4460703361872387,2.3072651635114427,-0.709656561027628,7.280417590819313,0.07342924434112125,-0.9825980099081741,6.098359770413077,-2.186293929557494,-3.7145092929505967
ABT,-0.2373336130626999,-1.7787530391178137,5.586562081831682,-1.3010431069463304,0.6102979640457887,-1.2774824983614526,-1.5666394381544448,0.9379116064768334,3.231535539498482,0.26584428014721373,-1.2189082427443483,-2.528428477079218,2.15750997635529,-1.6695593237132342,-2.897081831560369,6.828309369732416,-2.6762541914232227,1.0592840457641541,-1.912234983888536,5.568582889802652,-2.5910882956696635,-0.20907534856675325,0.08382598616040915,-0.1709744920028708,-1.4582727321660915,-2.973747510279841,-1.2303734285259125,0.8311685130444544,2.019332032068301,-0.5588668869517869,2.114341860059497,2.9601412063725667,-2.502717565977869,-0.4809822022672968,0.5202681444784003,-2.449590809297929,-3.5670662102152426,-0.18692531003477061,5.859609581225677,-0.745559433570762,0.1985001102272751,1.8301404309335974,-4.098665944595864,3.33881387882835,0.5278625452877648,-0.6603154171504878,0.4597203063564128,-3.8886624685422855,2.645334747009473,3.4513802876351587,-2.516311486672504,-2.1094950837421904,-1.1671663551884204,-2.3491167733121143,2.9608277173430286,-2.9371634376412312,-0.8009782145598108,5.114912850409883,5.826951736457486,-3.3926182291259535,-3.126891128149496,5.0451858556214635,-0.903735144793181,-2.8498593061319153,-1.6408822599252937,3.358856296844162,-3.517872811190376,-2.332563476674198,1.59563267905472,-2.8035563728572224,7.38401524250701,0.5228982467616434,1.8557891637790564,-1.137423070390869,-2.76956296665724,-0.13245417485195832,0.23505618581370202,0.7888677198113782,1.8446698738698302,-2.504356941320092,-0.44822696503262743,-1.9932882632180804,-2.923612995300523,2.521912192280065,1.1783640572191307,-0.6482894818228216,-0.5182322807427331,-0.07516697671187655,1.2482887945190337,-2.552529969102924,2.92400022525229,-2.1411590660225865,-0.4443663222362038,1.5317828642321643,1.5648779715280277,-3.4257210969088616,0.11001350636746372,3.503849014969398,0.4361939900746299,0.7393719760632025,3.230777491163052,-0.663285337573866,-1.331757700916928,0.6000021995770948,-2.982860848591907,-0.7347030021790962,-2.6020909685911677,-0.36035702734662517,-0.566914900150235,-0.6194446355526261,3.3278047791938707,2.400142452476962,-1.3085742685355517,3.2497711876088458,-1.6751644148804365,-0.44777576211983616,-1.1930355183942611,-2.834067501317475,-0.8726539682323138,2.7135257341429933,1.8220997933381173,-1.825814916045834,2.95241631810591,-2.489400426229978,-2.2711952696731283,2.353482175383223,0.14775538284712994,-2.8724719405179138
ADBE,1.5768155515545184,4.523242562822415,2.455733771642622,-0.6956040724829047,-1.3522411225683344,-2.9288515682361607,-1.565563893291985,1.9359797360696016,2.51979650152553,1.4355339249542232,-2.3896981215019224,-0.994152187641887,1.2578072727391003,-3.0977337750410525,-1.7523819892182584,5.150030728298744,2.977686193098344,-0.3876358650605259,-0.8514450065079247,-0.7967420842070527,-0.18452881153787715,-1.3263107936592868,0.1419961766773279,-1.2055172539444965,1.467351056174012,-2.865421906040253,-2.13436035946126,-2.206336516156542,1.892385686360857,-1.5279140571008494,8.185230987421516,3.444064149261642,1.2285422663447125,-1.7791637762781363,0.49730193951929125,-3.9418184903313427,-1.9447760021026936,-2.7787576750181042,0.11504331772210663,5.662784155926592,-0.8377125711399183,-2.483641127314165,-4.71674280568534,-0.7054008012799613,-1.4455471080586308,7.017362167556863,-1.4492137563693335,8.723885351974152,-3.7582600066599783,0.23115072785723823,1.6120089708805738,-0.9936005066134872,-1.6462759043240798,-1.1046791890767649,-0.29645145851944377,-3.710654310321381,-1.4701374724359666,8.142173782858912,-1.450758462880368,-3.975102376868088,-1.681619759153194,2.904530610544964,3.4917413668264192,-3.181088630985535,0.9705718709183397,2.804122340486014,-2.87714317416797,-4.197143800191405,4.858352195362485,-2.8467879391731885,3.9951899129775894,-0.2675270588320332,0.24586728204367259,0.9414749731707845,-0.6376179122313121,-1.0989120535349104,0.12652412960924408,0.8439047167409708,-1.2205916548301852,-2.4803266679616875,-1.044440023746716,-2.268378583170051,-1.0700566448942979,-1.4103959145814753,3.0342612406068206,7.840998236387921,0.03858564412009735,0.9350051224697606,-2.2245736768448,-5.4202123852339765,-3.732670408819656,6.052478117194367,-0.42572761995372854,-0.06815077358222568,-0.26556016330994914,0.2749774239527186,-0.9757662084770996,0.34532302428511596,-1.9928740637233957,-5.412920586559599,-0.2833822195082689,13.858379424088426,6.371815165878749,1.0168722017972789,-2.97581517983867,-3.6744143462201104,-3.3545666424027827,-0.5532018902347952,-0.5259096440688457,-3.744161187240847,0.057898814724440806,-1.8650065956668567,3.081367218254785,1.3975555983483021,0.5233885779804102,1.7353540990151963,0.738736166281301,-1.5583444764517267,-3.038653792899928,2.7928553854775298,0.9461481464251175,0.671415870323335,0.007414439082225721,-1.8706049683010983,0.9940789470900508,1.897697284475675,-1.2315140743122048,-1.6292313736442734
ADI,6.893744164630796,1.0149684691463725,-1.538502672314382,-4.038735069992949,-2.1750405970988202,0.29401227332504704,0.5092535027308902,-0.7821900974670152,-0.2634791321526053,0.5704012364618628,-1.9404312083768231,0.8186074987226339,3.500332947643221,0.5545302099303783,-1.4416775410606248,0.5607729083242877,1.9162858059930652,-1.5396963492741524,-0.40863749691906537,-0.23477457461180007,0.24269567506634293,-1.0978003486306411,3.329646537438871,-2.669613672431188,-1.5060351186194705,-1.510738194453197,-0.3827930565730726,-3.0099445900923003,4.746856431793959,-1.7046693298750646,-0.36555399234394215,2.297810334525811,1.27736408667335,-0.007713707782958434,2.567733977241225,-0.48987551935108087,-2.559027308627022,3.4363481087872105,-0.42000786349086705,0.6635893026632392,-2.8632683200962896,-0.12336716920672547,-3.588523889805476,-1.6454395681834684,1.356993722609227,-3.210301728026233,0.46614763853222074,9.065376289796749,-2.277394212344128,-2.219612204650512,-2.101221142310279,2.7506191261394894,3.807917617383874,-2.603045364456207,1.3920090569653703,3.0712929356507632,-0.6542756151328797,-2.7623315878911283,-0.6256962788112204,3.9834007152480844,-1.9145243774742715,0.12822588763221054,-1.195890696320039,-3.1517503905671913,-1.8454739229093493,2.946545684563859,-0.9056498854626225,-0.4630397641009484,1.3459744049722142,1.6850736967093578,-0.24302465561825537,0.1858294816030961,0.14872540683356494,-0.5685074111548877,-1.7086719696074206,-3.297399947551341,4.9733121075160645,0.42698589587074004,-3.0350839071396045,2.4754501476555313,-0.24076205630989356,0.7742737480462977,-1.1437152991129262,-0.8902080746655443,0.36590483538006613,3.2421509876531025,-1.4959644172864317,0.7696498998353388,-0.6935177339320585,-3.252465643908454,-2.453372748149256,1.8569296492700693,-0.2648303119703861,5.2803616154321045,-0.23171481468025457,-4.6301622426844675,-0.18593987266911938,1.5662362958835376,-0.2799558452646467,-0.8479032200776314,-0.8339486860381754,4.870257042457983,-0.177483623341528,1.1928778891867338,-1.494494786547573,0.2624384931642679,-1.52031713611556,-0.8914878924902983,1.1664617960072743,1.1128550618681827,0.12452448120448012,0.7550754825554814,-3.006245664114395,-1.8406229814372446,1.562623154857633,-0.21956059187523402,2.3618776016597307,-1.500401528961281,0.11842839486822987,1.1143134459845907,-2.581966177727161,-3.451100194080697,3.9821776324008837,-5.050908966462795,-2.155111281107662,7.007172459033554,11.071330197647432,-1.9401653598246926
ADM,-1.7569895892748784,5.038421052315615,-1.9202568361755672,0.37810965868939805,-1.7243685462703118,-1.4778394065394074,-2.02477030986414,2.8822871693830807,1.6873989782634085,-0.4771968437497305,-0.12959228431277547,1.8523764730690648,-2.378731453233489,-3.4276414281565106,0.4525397917793955,4.196201994626271,4.284648935547916,0.1630608313254912,-0.9261165171770847,1.2842553556152192,-1.9877225795276474,-0.4415395552770167,0.9974976474581478,-3.3008250128987604,-0.8673325511106799,-1.036262702478763,-0.5612529613647751,-3.2666886406046456,0.4581683482654904,4.09349574488753,0.1017551688673981,3.1548995340669963,2.5445526421054088,-0.9187543734725334,-3.234307891669757,-2.3590566276609635,3.8423631846855493,-2.2371308061869883,0.9484618441083342,-2.5616496976197207,1.1156761595756381,0.3006422775607248,-2.419920674092328,1.5651340309886799,0.5038046845223678,3.751596381043255,0.9745677357642955,-3.8180724782917945,-0.474571318279353,-1.7387595339736581,-0.6877355037944498,3.621687153869375,1.692591756352091,-2.7991969948403423,-1.7688668998571933,-1.1370449473234518,-2.0529028932764413,9.33090483673208,-0.34100557004911347,-1.3149346551060765,-1.9100006096804403,0.4190760767906187,2.7262221322352254,-2.7706012958569173,-1.7461729000729709,1.06372739766705,-3.2630299572813195,-2.7745023812187712,0.11607345991391282,7.376284987561581,-1.882571238767565,0.5994444367617464,2.538218459451361,-3.933779435748421,-4.354501776252529,-1.91722352001297,10.129809265504676,0.3109142541388342,3.010615023883531,-3.570652657663489,-1.635197631556117,-4.123738384124874,4.105873134327263,4.002927282786336,-0.3903156652801723,0.1890740366858496,-1.3115157144076015,-1.4829315496472426,-2.628305442363332,-2.50738274952161,1.1908335176991516,-0.4331302597051454,0.18663951845491278,1.3837609892423555,3.555743286174569,-2.4730773333443454,-1.3380211188823592,-0.3373489130390191,-3.091532362711036,5.940531081315471,-0.4603070570529026,-3.2414017940093767,2.3584179013381377,-0.6956139350352666,-0.21801149407584353,-2.7650248784256597,-1.4481400586492528,6.6176897405403174,-2.25464100089245,-0.890418110630419,6.780622238236201,-3.2279374036539754,-4.72786792676848,4.356999905763294,-0.0183403153064301,0.43153308534676005,-0.09239440541738153,-4.204091575998237,-0.9508759042090833,-1.594949363258857,3.5954507984169704,5.668226109717899,1.6754844780907918,-3.9812784105256904,1.0210222176602026,0.894728854858941,-1.3290158652198194,-1.1738242162867951
ADP,2.1643450297545885,-0.1868124618665714,-1.8128850135383483,-0.1961456227979953,-1.0249266851794334,4.361348170447121,-2.2615466139744003,7.113877433852845,-1.3565021585257175,-1.424302377806831,-2.3031591811010528,-0.4272701819482322,-1.5911356112358201,0.8818624558723913,-0.9423874202420727,-0.6668874964822175,2.7426193079431562,-3.056731377312808,5.020409662416103,-0.30152124162201477,-2.132437680046899,0.505471779804374,2.455236153186847,-0.4757386955206645,-2.7515709814123275,-0.6347838894898161,-0.3326939719309049,-0.8496070924409643,-0.9984618240081793,-0.9681949770476631,0.3759190382927039,1.6230786243222408,-0.7424998746381799,3.3615380347783494,4.064152588369511,-2.6341305717499064,-3.039493375553007,-1.821540130037282,0.09092920352088249,6.559983420990979,-1.3440680177465656,-1.255110418574541,-3.0544143214187525,-1.0268353576475604,-1.866306263921255,8.973608764035305,-0.6114857292575421,-3.0297974150231766,-2.9916534660597125,-3.027202983613215,1.938835594009221,-1.8700856758881321,7.41434239616696,0.9406538484656913,-1.6400192584519795,-1.1890845316915388,1.500686980954405,-1.793941593830863,0.5358186876216283,4.740578791679843,-1.9539648425856906,0.24022259403386315,0.07158516313218807,-4.137058274225676,-1.8006909323261113,-2.2827051821550657,-1.7499967770600193,-1.0192250899358697,12.846896710121342,-0.712082912180545,-2.880872965439393,-1.2197821058149345,-4.345027101590711,0.16271047454262977,0.35979693208478436,10.519680899407613,-1.3552409951357425,-2.0292312442680696,-2.32429544344034,-2.5183408836191568,-3.6030841320077363,-2.66931953573964,9.489019884679571,-0.5065916601738062,-1.5358760423167968,0.4190039917308681,-0.496861730012473,-2.2219648428265937,1.1216670248710074,1.6186916346883566,-0.6115905968938921,-0.020574897174358453,-2.5917327524040346,1.4822515259640614,1.8136786010897192,0.0943588068476332,0.7516522054444549,-2.1092462555122315,-1.0502231179382142,2.3171896230487374,0.01603491143881408,3.288481967636542,0.6816055369774593,-1.3883125792737718,-3.3487152034101086,-2.45064264774694,-3.5705347490623978,-2.638308702846667,12.73247339339423,-0.9133784612627047,-0.8249483923589581,0.5290196332409179,-1.8836401026750726,-1.7214661461412635,-0.6294849197227331,0.06316198332444345,1.9454620620788428,0.43714751520643347,-1.7270445772367187,-0.5367789378046354,-2.01555273284418,0.35605487962906057,0.026300217033105783,-2.657858176766053,2.5030482194262826,9.461120604848283,-1.821394076646552,-2.5536554179425517
ADSK,-1.5244475732844684,7.924687601439274,-2.886043172305754,-0.6637482423053807,-1.17296656002819,-1.5617635380822321,0.38568189988372403,2.7993265859718806,2.0532932979080827,0.5388302548464904,-0.7171221601163641,0.1409808928291323,0.5159842461412933,-2.568891385251525,-0.4787514196479729,-0.3651599893111026,-0.09489287820020142,-1.616703183003755,-0.6873043096597201,-1.7750603022352602,-0.8035445725108626,-0.18489705255898248,8.670041560583226,-1.6028506895484496,3.2982480625409765,-1.0871759686983014,-3.6166350859521517,-3.870102967776339,-0.1700218334857324,1.53543581847918,0.8698439247888886,-1.2876006351776526,5.022405234626054,3.1771245716581236,-2.457495977447225,-0.4547242116382746,-2.9359152520241043,0.001087338689194084,0.4206195200964607,-1.9530924160718701,1.3472199438727646,-0.7075257549937772,-1.8070248175125911,-0.6420162033182609,3.5039589340191086,2.561296303714273,-2.262473069872165,1.370878346894023,-0.03559191662755651,-3.601048900192116,-0.641273778477762,2.1443323156531426,-1.9181758058996092,7.108475414744836,-1.1446327491023842,-0.543844526581963,-2.7675324833772335,-2.045556403431738,-0.8428930096773072,0.761446380857631,-1.3833060029190631,8.827036993721203,-0.5128874609737053,-2.908128829457313,0.30788450294736225,-1.976018221143312,-1.383586524520945,-0.6909966298704423,-0.4415245749812232,-0.46528649925538546,0.8157520521931588,1.1830252136922326,2.5033645139363876,-0.2707481379600791,1.83308118558176,-0.24832968088316007,-0.765001179352139,-1.2019960149311801,-1.5533770585016944,-1.0629323208163957,-1.7025517710691704,-0.9901795569290243,-1.226924456061946,1.806043192922579,2.120847137138474,-0.9664958633643073,6.836674330640995,1.2089237238794728,-2.033229163975629,-4.778751239727519,-3.0360943693370275,2.7222268137475405,-1.769940018690415,1.549495140157421,3.1556508095172955,-0.7799920484780145,-2.236182336053011,3.705274081323032,-0.9886858750447434,-1.2768543016582874,1.190588917416269,-2.455177184041502,2.710523592425761,-0.13667429253961239,-2.1637252732009307,2.7767707173992466,-1.6051504697393675,-2.3160163677390857,1.0888983286627318,-1.283563723013235,0.5958699468173532,6.017318820784221,-1.5365087455771536,-0.7505409337249045,1.007395638625601,0.2194842039493351,-2.4062657756340875,-1.459844837580552,-1.2102216270288828,2.4908287890083596,-0.3062420508536124,-2.281511709592123,1.141660811875948,-1.061325954190961,1.7056370677233825,-0.4670237715051222,4.114427149162359,0.7138495717100265
AEE,-0.9556428830170102,1.9172502365731872,4.924808364192497,-0.8874326460792132,-2.5832950613268193,-1.3838705116344983,-2.058463069781324,3.348944776430197,0.8447465544186861,-0.21392206558262128,3.063795881639241,-2.8528777514057397,-1.1449062310424996,0.6208415634652076,-1.1729251521142015,0.6852451895113156,-1.5911419404196856,-1.3539188834627538,0.4067553567031902,0.1571286775430163,-2.599436204726217,8.186009043525146,6.378074813797723,-3.7323555575977605,-2.3517155210616494,1.6673641462542046,-2.9180799713484435,-3.1527353209350273,-0.5557834037212075,-0.09935346958566976,-2.6638502025607567,4.591482690787767,3.1702664351785206,-1.4330515804429558,-0.3020620968362447,1.802415232801033,-3.212424553939935,-0.585727821578973,-0.7797445087370818,-1.670503942489589,4.824781277765101,-2.348197157068043,-3.3172121772338308,1.953333953889574,-0.2970475160864526,8.129858393493123,-2.432258865122582,0.1358320107158293,-4.5027913856156685,-2.8604343096514757,2.01876395907851,3.571171328829513,-0.43892507128982233,2.0742790060729304,1.2003090465724844,-2.8539748299224614,0.16053276320012894,-2.1872327405828367,1.2666690861285494,-2.8593160153685635,2.1140468846462745,1.695000157704411,0.3732849986840989,0.9274175319800801,-0.0736974795098107,-1.2731233127142403,-3.961570637588597,-2.002788997883224,1.1876056839983875,0.7853046004138369,1.4485080768488516,5.205206522497333,-1.000795835635623,-2.1479521487061914,0.0053822690348903635,-2.101851283225813,2.8950182626994962,0.9562446904737758,-3.0452894424745294,-2.681502242777521,-0.5666586334387425,-2.72422148972663,-2.5947218681794078,5.078481963064359,6.768130555400498,2.7475178922819383,-0.9752858300070208,-3.962900370297682,-4.760088806609057,1.693980616714705,4.5250054716662165,-2.1556636009685786,-3.394253785900963,5.053850568018898,-3.281645373528655,2.5661657737991086,2.653291608934378,-0.09892992099207443,-0.8043170318589574,-1.0277166206539499,1.4127506008473532,-1.1394647033943412,0.5361053401830828,-1.9310134331217383,0.6003788607821872,-2.058400831471573,0.3684981479380575,-3.0801939241433183,0.5477116092428514,2.9557217931370197,0.3913852709336334,1.319280253689612,-0.8508394470532563,-1.6164239201856754,1.0821954073504934,-0.14017029639222423,-1.2243560052529572,-2.840552648912282,-0.26410480369213346,2.1251539463564275,2.389706140490393,-2.489241637742781,-0.4444222631089234,5.176526606491279,-0.921835185490619,2.206386439330017,0.031501178533878016,2.239410737315316
